pool,dataset,slice,comparison,metric,left_mean,right_mean,n,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - SetR-faithful,EM,0.7433333333333333,0.7666666666666667,300,-0.023333333333333334,-0.06333333333333334,0.016666666666666666,0.1012,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - SetR-faithful,F1,0.771733,0.7968838383838384,300,-0.025150838383838383,-0.06061688207070707,0.009539323989898985,0.0821,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - SetR-faithful,R5_TITLE,0.9133333333333333,0.9283333333333333,300,-0.015,-0.03666666666666667,0.006666666666666667,0.0718,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - SetR-style k20,EM,0.7433333333333333,0.7666666666666667,300,-0.023333333333333334,-0.056666666666666664,0.01,0.0781,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - SetR-style k20,F1,0.771733,0.7891245791245791,300,-0.017391579124579126,-0.050150950589225585,0.014389428282828274,0.1456,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - SetR-style k20,R5_TITLE,0.9133333333333333,0.9516666666666667,300,-0.03833333333333333,-0.058333333333333334,-0.02,0.0,True
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - RankGPT-style sliding,EM,0.7433333333333333,0.7466666666666667,300,-0.0033333333333333335,-0.04,0.03333333333333333,0.4036,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - RankGPT-style sliding,F1,0.771733,0.7750820105820105,300,-0.0033490105820105824,-0.03860045158730158,0.032803504894179894,0.4312,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-IG - RankGPT-style sliding,R5_TITLE,0.9133333333333333,0.9466666666666667,300,-0.03333333333333333,-0.056666666666666664,-0.011666666666666667,0.001,True
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-nobinding - SetR-faithful,EM,0.7433333333333333,0.7666666666666667,300,-0.023333333333333334,-0.06,0.016666666666666666,0.1008,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-nobinding - SetR-faithful,F1,0.771733,0.7968838383838384,300,-0.025150838383838383,-0.06058913585858586,0.010340079040404026,0.0825,False
PropRAG,2Wiki,support_depth=2|gate=abstain,DBEC-nobinding - SetR-faithful,R5_TITLE,0.9133333333333333,0.9283333333333333,300,-0.015,-0.03666666666666667,0.005,0.0702,False
PropRAG,2Wiki,support_depth>=3|gate=bind,DBEC-IG - DBEC-nobinding,EM,0.9141630901287554,0.7811158798283262,233,0.13304721030042918,0.0815450643776824,0.1888412017167382,1.0,True
PropRAG,2Wiki,support_depth>=3|gate=bind,DBEC-IG - DBEC-nobinding,F1,0.9141665236051502,0.7811158798283262,233,0.13305064377682402,0.08154849785407725,0.18455622317596565,1.0,True
PropRAG,2Wiki,support_depth>=3|gate=bind,DBEC-IG - DBEC-nobinding,R5_TITLE,0.9313304721030042,0.8454935622317596,233,0.08583690987124463,0.0611587982832618,0.11051502145922747,1.0,True
PropRAG,2Wiki,support_depth>=3|gate=bind,DBEC-IG - DBEC,EM,0.9141630901287554,0.9141630901287554,233,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=3|gate=bind,DBEC-IG - DBEC,F1,0.9141665236051502,0.9141665236051502,233,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=3|gate=bind,DBEC-IG - DBEC,R5_TITLE,0.9313304721030042,0.9313304721030042,233,0.0,0.0,0.0,0.0,False
PropRAG,2Wiki,support_depth>=3|gate=bind,DBEC-IG - SetR-faithful,EM,0.9141630901287554,0.7725321888412017,233,0.14163090128755365,0.08583690987124463,0.19742489270386265,1.0,True
