dataset,slice,n,min_gold_doc_count,max_gold_doc_count,mean_gold_doc_count,comparison,metric,left_mean,right_mean,delta_mean,ci_low,ci_high,p_delta_gt_0,ci_excludes_zero
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - SetR-style k20,R5_TITLE,0.9625,0.9735,-0.011,-0.02,-0.002,0.0064,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - Top5,EM,0.62,0.595,0.025,0.011,0.039,0.9997,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - Top5,F1,0.7473044,0.7227198,0.024584599999999998,0.0112679875,0.03809157999999998,0.9998,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - Top5,R5_TITLE,0.9625,0.952,0.0105,0.004,0.0175,0.9992,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - IRCoT-style local,EM,0.62,0.59,0.03,0.01,0.051,0.9966,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - IRCoT-style local,F1,0.7473044,0.7078637660842769,0.03944063391572308,0.02097694559507314,0.05881012319268709,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - IRCoT-style local,R5_TITLE,0.9625,0.92,0.0425,0.0295,0.0555,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - LLM-direct title,EM,0.62,0.537,0.083,0.06,0.107,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - LLM-direct title,F1,0.7473044,0.6477992444947553,0.09950515550524466,0.07745369161839621,0.1223110005242762,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - LLM-direct title,R5_TITLE,0.9625,0.828,0.1345,0.118,0.151,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - LLM-direct snippet128,EM,0.62,0.545,0.075,0.052,0.099,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - LLM-direct snippet128,F1,0.7473044,0.6544034291989401,0.09290097080105997,0.07089386904221338,0.11568007731012107,1.0,True
HotpotQA,gold_doc_count=2,1000,2,2,2.0,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.9625,0.8145,0.148,0.1305,0.166,1.0,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - SetR-style k20,EM,0.353,0.377,-0.024,-0.046,0.0,0.0214,False
MuSiQue,all,1000,2,4,2.648,DAEC-selective - SetR-style k20,F1,0.45480810000000005,0.4760560863543062,-0.02124798635430617,-0.04376326311744155,0.0015262542465833075,0.0327,False
MuSiQue,all,1000,2,4,2.648,DAEC-selective - SetR-style k20,R5_TITLE,0.7745,0.7836666666666666,-0.009166666666666667,-0.023,0.0046666666666666645,0.0996,False
MuSiQue,all,1000,2,4,2.648,DAEC-selective - Top5,EM,0.353,0.33,0.023,0.002,0.044,0.9822,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - Top5,F1,0.45480810000000005,0.42663599999999996,0.02817210000000001,0.007500007500000001,0.0488748875,0.9963,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - Top5,R5_TITLE,0.7745,0.73775,0.03675,0.024916666666666667,0.04825,1.0,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - IRCoT-style local,EM,0.353,0.327,0.026,-0.001,0.053,0.9695,False
MuSiQue,all,1000,2,4,2.648,DAEC-selective - IRCoT-style local,F1,0.45480810000000005,0.4254130907448245,0.02939500925517551,0.0034348965619116025,0.05600699416971229,0.9871,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - IRCoT-style local,R5_TITLE,0.7745,0.6969166666666666,0.07758333333333334,0.061000000000000006,0.09408333333333331,1.0,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - LLM-direct title,EM,0.353,0.272,0.081,0.053,0.109,1.0,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - LLM-direct title,F1,0.45480810000000005,0.3582032700959172,0.09660482990408285,0.06870558767400899,0.12406584256557168,1.0,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - LLM-direct title,R5_TITLE,0.7745,0.6119166666666668,0.1625833333333333,0.1445,0.1815020833333333,1.0,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - LLM-direct snippet128,EM,0.353,0.294,0.059,0.031,0.086,1.0,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - LLM-direct snippet128,F1,0.45480810000000005,0.38499627621260746,0.06981182378739251,0.042270421606165585,0.09757444442472044,1.0,True
MuSiQue,all,1000,2,4,2.648,DAEC-selective - LLM-direct snippet128,R5_TITLE,0.7745,0.6305,0.144,0.12458333333333334,0.16408333333333333,1.0,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - SetR-style k20,EM,0.44015444015444016,0.4768339768339768,-0.03667953667953668,-0.06756756756756757,-0.005791505791505791,0.0095,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - SetR-style k20,F1,0.5524675675675675,0.5857655570890865,-0.03329798952151893,-0.06387112890027806,-0.003059707087490704,0.0156,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - SetR-style k20,R5_TITLE,0.8774131274131274,0.8947876447876448,-0.017374517374517374,-0.03667953667953668,0.0019305019305019305,0.0322,False
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - Top5,EM,0.44015444015444016,0.4189189189189189,0.021235521235521235,-0.007722007722007722,0.050241312741312036,0.9055,False
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - Top5,F1,0.5524675675675675,0.5321247104247104,0.020342857142857145,-0.007690545366795364,0.04897240830115829,0.9205,False
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - Top5,R5_TITLE,0.8774131274131274,0.86003861003861,0.017374517374517374,0.0028957528957528956,0.032818532818532815,0.9885,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - IRCoT-style local,EM,0.44015444015444016,0.40540540540540543,0.03474903474903475,-0.003861003861003861,0.07335907335907337,0.9591,False
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - IRCoT-style local,F1,0.5524675675675675,0.5042166334183141,0.04825093414925349,0.010239283351751841,0.08629508163625801,0.9938,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - IRCoT-style local,R5_TITLE,0.8774131274131274,0.8175675675675675,0.059845559845559844,0.037644787644787646,0.08301158301158301,1.0,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - LLM-direct title,EM,0.44015444015444016,0.333976833976834,0.10617760617760617,0.06563706563706563,0.14671814671814673,1.0,True
MuSiQue,gold_doc_count=2,518,2,2,2.0,DAEC-selective - LLM-direct title,F1,0.5524675675675675,0.41749384848124343,0.1349737190863241,0.09696225021376283,0.17354642471157175,1.0,True
