dataset,feature,n_strong,n_abstain_helpful,n_bind_helpful,auc_abstain,auc_abs_distance,direction,abstain_mean,bind_mean,mean_diff_abstain_minus_bind
2Wiki,bind_conf_single_candidate_rate,159,23,136,0.46403452685422,0.035965473145780025,high=>bind,0.6086956521739131,0.6446078431372549,-0.03591219096334186
2Wiki,single_candidate_rate,159,23,136,0.46403452685422,0.035965473145780025,high=>bind,0.6086956521739131,0.6446078431372549,-0.03591219096334186
2Wiki,empty_entity_responses,159,23,136,0.47282608695652173,0.02717391304347827,high=>bind,3.782608695652174,4.205882352941177,-0.4232736572890028
2Wiki,unmatched_rate,159,23,136,0.5244565217391305,0.024456521739130488,high=>abstain,0.31075011944577163,0.29067269052756667,0.020077428918204965
2Wiki,avg_candidate_title_occurrences,159,23,136,0.4852941176470588,0.01470588235294118,high=>bind,1.0,1.025735294117647,-0.025735294117646967
2Wiki,title_nonunique_rate,159,23,136,0.4852941176470588,0.01470588235294118,high=>bind,0.0,0.022058823529411766,-0.022058823529411766
2Wiki,bind_conf_title_unique,159,23,136,0.5147058823529411,0.014705882352941124,high=>abstain,1.0,0.9779411764705882,0.022058823529411797
2Wiki,title_unique_rate,159,23,136,0.5147058823529411,0.014705882352941124,high=>abstain,1.0,0.9779411764705882,0.022058823529411797
2Wiki,dep_score_top1_mean_diagnostic,159,23,136,0.48641304347826086,0.013586956521739135,high=>bind,0.9869415,0.9811506139705882,0.005790886029411801
2Wiki,requirement_count,159,23,136,0.48705242966751916,0.01294757033248084,high=>bind,2.6956521739130435,2.735294117647059,-0.03964194373401542
2Wiki,extraction_count,159,23,136,0.48785166240409206,0.012148337595907943,high=>bind,7.173913043478261,7.3161764705882355,-0.14226342710997475
2Wiki,candidate_req_count,159,23,136,0.4883312020460358,0.011668797953964194,high=>bind,1.391304347826087,1.4191176470588236,-0.027813299232736677
2Wiki,alias_match_rate,159,23,136,0.489769820971867,0.010230179028133002,high=>bind,0.034057971014492754,0.075,-0.040942028985507244
2Wiki,bind_conf_candidate_coverage,159,23,136,0.4929667519181586,0.0070332480818414145,high=>bind,0.9782608695652174,0.9852941176470589,-0.00703324808184147
2Wiki,candidate_coverage,159,23,136,0.4929667519181586,0.0070332480818414145,high=>bind,0.9782608695652174,0.9852941176470589,-0.00703324808184147
2Wiki,max_dependency_depth,159,23,136,0.4950447570332481,0.004955242966751927,high=>bind,1.173913043478261,1.1838235294117647,-0.009910485933503743
2Wiki,dependent_req_count,159,23,136,0.4952046035805627,0.0047953964194373255,high=>bind,1.434782608695652,1.4485294117647058,-0.013746803069053737
2Wiki,exactish_match_rate,159,23,136,0.49584398976982097,0.00415601023017903,high=>bind,0.8804347826086957,0.8237570028011204,0.05667777980757527
ALL,bind_conf_composite_primary,346,117,229,0.3425708207367596,0.1574291792632404,high=>bind,0.6745063240634288,0.7870072107461993,-0.11250088668277047
ALL,unmatched_entity_count,346,117,229,0.6496472959355055,0.14964729593550552,high=>abstain,8.777777777777779,4.11353711790393,4.664240659873848
ALL,bind_conf_composite_with_margin_diagnostic,346,117,229,0.35376777516515506,0.14623222483484494,high=>bind,0.65834375611684,0.7741718958167557,-0.11582813969991568
ALL,match_rate,346,117,229,0.35462620833799874,0.14537379166200126,high=>bind,0.4001491306334825,0.5731362474069498,-0.1729871167734673
ALL,raw_entity_count,346,117,229,0.6434143246370321,0.14341432463703208,high=>abstain,13.0,6.829694323144105,6.170305676855895
ALL,bind_conf_match_quality,346,117,229,0.3730265367819953,0.12697346321800468,high=>bind,0.4566632294487534,0.6084383549717258,-0.1517751255229724
ALL,avg_candidate_title_occurrences,346,117,229,0.6244354868809018,0.12443548688090178,high=>abstain,1.8008864592197926,1.1284570596797672,0.6724293995400255
ALL,bind_conf_title_unique,346,117,229,0.37757996491620943,0.12242003508379057,high=>bind,0.7946501029834363,0.9405385735080058,-0.14588847052456955
ALL,title_unique_rate,346,117,229,0.37757996491620943,0.12242003508379057,high=>bind,0.7946501029834363,0.9405385735080058,-0.14588847052456955
ALL,title_nonunique_rate,346,117,229,0.6224200350837905,0.12242003508379051,high=>abstain,0.20534989701656367,0.05946142649199418,0.1458884705245695
ALL,duplicate_entity_count,346,117,229,0.61372373381107,0.11372373381107004,high=>abstain,1.0512820512820513,0.3406113537117904,0.7106706975702609
ALL,unmatched_rate,346,117,229,0.6093942447654238,0.10939424476542381,high=>abstain,0.4868226717359757,0.3562595374634981,0.13056313427247762
ALL,exactish_match_rate,346,117,229,0.39816369947374314,0.10183630052625686,high=>bind,0.6810994560994561,0.7957319609066333,-0.11463250480717724
