split,score_name,threshold,dataset,n,em,f1,title_recall,null_rate,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,macro_f1,macro_delta_f1_vs_daec
all,bind_conf_composite_primary,0.42,HotpotQA,1000,0.621,0.747733,0.963,0.349,0.0004286000000000012,0.0010000000000000009,0.0004999999999999449,0.008995399999999987,0.6332848666666666,0.001609800000000013
all,bind_conf_composite_primary,0.42,MuSiQue,1000,0.341,0.4412939,0.76125,0.417,0.005400800000000039,0.0040000000000000036,8.333333333332416e-05,-0.004519599999999957,0.6332848666666666,0.001609800000000013
all,bind_conf_composite_primary,0.43,2Wiki,1000,0.641,0.7108277,0.94,0.303,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.09883739999999996,0.6335070666666667,0.0018320000000000003
all,bind_conf_composite_primary,0.43,HotpotQA,1000,0.621,0.747733,0.963,0.352,0.0004286000000000012,0.0010000000000000009,0.0004999999999999449,0.008995399999999987,0.6335070666666667,0.0018320000000000003
all,bind_conf_composite_primary,0.43,MuSiQue,1000,0.342,0.4419605,0.76075,0.432,0.006067400000000001,0.0050000000000000044,-0.0004166666666666208,-0.0038529999999999953,0.6335070666666667,0.0018320000000000003
all,bind_conf_composite_primary,0.44,2Wiki,1000,0.641,0.7108277,0.94,0.303,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.09883739999999996,0.6339118333333333,0.0022367666666666675
all,bind_conf_composite_primary,0.44,HotpotQA,1000,0.621,0.747733,0.963,0.353,0.0004286000000000012,0.0010000000000000009,0.0004999999999999449,0.008995399999999987,0.6339118333333333,0.0022367666666666675
all,bind_conf_composite_primary,0.44,MuSiQue,1000,0.344,0.4431748,0.7615833333333333,0.45,0.007281700000000002,0.006999999999999951,0.0004166666666666208,-0.002638699999999994,0.6339118333333333,0.0022367666666666675
all,bind_conf_composite_primary,0.45,2Wiki,1000,0.641,0.7108277,0.94,0.303,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.09883739999999996,0.6339118333333333,0.0022367666666666675
all,bind_conf_composite_primary,0.45,HotpotQA,1000,0.621,0.747733,0.963,0.355,0.0004286000000000012,0.0010000000000000009,0.0004999999999999449,0.008995399999999987,0.6339118333333333,0.0022367666666666675
all,bind_conf_composite_primary,0.45,MuSiQue,1000,0.344,0.4431748,0.7613333333333333,0.457,0.007281700000000002,0.006999999999999951,0.0001666666666666483,-0.002638699999999994,0.6339118333333333,0.0022367666666666675
all,bind_conf_composite_primary,0.46,2Wiki,1000,0.642,0.711411,0.94,0.305,-0.00041669999999993657,0.0,-0.0010000000000000009,0.09942070000000003,0.6351487666666666,0.003473700000000024
