split,threshold,dataset,f1,em,title_recall,delta_f1_vs_daec,delta_em_vs_daec,delta_title_recall_vs_daec,delta_f1_vs_nobind,null_rate
test,0.9,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.9,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.9,MuSiQue,0.457181127129751,0.3617300131061599,0.7722804718217562,0.021392922673656667,0.01834862385321101,0.015290519877675823,0.007250458715596375,0.6382699868938401
test,0.91,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.91,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.91,MuSiQue,0.4558705111402359,0.36041939711664484,0.7714067278287462,0.02008230668414157,0.01703800786369597,0.014416775884665833,0.005939842726081279,0.6395806028833552
test,0.92,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.92,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.92,MuSiQue,0.4558705111402359,0.36041939711664484,0.7714067278287462,0.02008230668414157,0.01703800786369597,0.014416775884665833,0.005939842726081279,0.6395806028833552
test,0.93,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.93,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.93,MuSiQue,0.4558705111402359,0.36041939711664484,0.7714067278287462,0.02008230668414157,0.01703800786369597,0.014416775884665833,0.005939842726081279,0.6395806028833552
test,0.94,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.94,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.94,MuSiQue,0.4558705111402359,0.36041939711664484,0.7714067278287462,0.02008230668414157,0.01703800786369597,0.014416775884665833,0.005939842726081279,0.6395806028833552
test,0.95,2Wiki,0.7054974874371859,0.6369346733668342,0.9390703517587939,-0.0017248743718593085,-0.0012562814070351536,-0.0006281407035175768,0.09112047738693463,0.30778894472361806
test,0.95,HotpotQA,0.7512830115830116,0.6254826254826255,0.9594594594594594,0.002574002574002532,0.002574002574002532,0.0,0.009489446589446615,0.3680823680823681
test,0.95,MuSiQue,0.4558705111402359,0.36041939711664484,0.7714067278287462,0.02008230668414157,0.01703800786369597,0.014416775884665833,0.005939842726081279,0.6395806028833552
